id,date_created,user_created_id,changes,fire_perimeter_id
1,2025-01-30 01:00:05.338040+00:00,3729,"{""approval_status"": [""pending"", ""approved""]}",30
2,2025-01-30 16:11:23.788694+00:00,3729,"{""is_visible"": [false, true]}",30
3,2025-01-30 22:54:11.013766+00:00,1,"{""is_visible"": [true, false]}",30
4,2025-02-03 23:35:27.342011+00:00,3729,"{""is_visible"": [false, true], ""approval_status"": [""pending"", ""approved""]}",32
5,2025-02-04 11:59:38.834101+00:00,3729,"{""is_visible"": [true, false]}",32
6,2025-02-04 11:59:39.031407+00:00,3729,"{""is_visible"": [false, true], ""approval_status"": [""pending"", ""approved""]}",33
7,2025-02-05 07:54:11.364699+00:00,1,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",33
8,2025-02-05 15:20:19.194613+00:00,3729,"{""is_visible"": [false, true], ""approval_status"": [""pending"", ""approved""]}",24
9,2025-02-05 15:20:49.261542+00:00,3729,"{""geo_event_id"": [null, 40335]}",24
10,2025-02-06 23:12:47.543119+00:00,3729,"{""is_visible"": [false, true], ""approval_status"": [""pending"", ""approved""]}",149
11,2025-02-07 19:19:05.221193+00:00,3729,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",15
12,2025-02-07 19:20:06.620903+00:00,3729,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",2
13,2025-02-07 19:20:42.983226+00:00,3729,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",7
14,2025-02-07 19:21:08.397697+00:00,3729,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",4
15,2025-02-07 19:21:34.394313+00:00,3729,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",5
16,2025-02-07 21:38:46.074125+00:00,16,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",149
17,2025-02-09 04:37:34.581925+00:00,14094,"{""is_historical"": [false, true], ""approval_status"": [""pending"", ""approved""]}",25
18,2025-02-10 15:08:29.990746+00:00,3729,"{""geo_event_id"": [null, 41867], ""is_historical"": [false, true], ""approval_status"": [""pending"", ""approved""]}",151
19,2025-02-10 20:42:53.129753+00:00,3729,"{""is_visible"": [false, true], ""approval_status"": [""pending"", ""approved""]}",152
20,2025-02-11 01:24:04.379071+00:00,9,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",24
21,2025-02-11 21:43:09.737208+00:00,3729,"{""is_visible"": [false, true], ""approval_status"": [""pending"", ""approved""]}",154
22,2025-02-11 21:43:10.007742+00:00,3729,"{""is_visible"": [false, true], ""approval_status"": [""pending"", ""approved""]}",154
23,2025-02-11 22:30:59.230777+00:00,26407,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",152
24,2025-02-17 06:24:33.986568+00:00,1,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",154
25,2025-02-18 16:28:37.538223+00:00,3729,"{""is_visible"": [false, true], ""approval_status"": [""pending"", ""approved""]}",155
26,2025-02-19 04:54:34.183239+00:00,1,"{""is_visible"": [true, false], ""is_historical"": [false, true]}",155
